url,commits,userneck,userscore,commit_time,year,movie_name_zh,movie_name_en,movie_time,movie_type,movie_online_time,movie_score_all,movie_score_yy,movie_score_hm,movie_score_dy,movie_score_gs
http://movie.mtime.com/236404/,老冯拍过的最好的电影，没有之一！不过这纯粹是站在自己角度说的，客观的说80后90后基本对这部电影无感, 河姆渡人, None,2018-2-19 21:13:12,2017, 芳华, Youth,136分钟, 爱情/剧情/战争,2017年12月15日,7.7,79,81,78,75
http://movie.mtime.com/227434/,电影还是不错的，只是没有期待中那么惊艳。如果歌神德拉库斯是真的通过自己努力获得成功的，那么如何处理梦想和家庭的矛盾？亲情家庭死亡确实很触动心弦和催泪，亡灵世界和二次死亡的设定也很赞。这首歌不是写给世界的，她是写给我女儿的。Remember Me！欢迎加微信pmyx2015，交流优秀电影, 飘渺的游侠, None,2018-1-27 23:18:06,2017, 寻梦环游记, Coco,109分钟, 动画/冒险/喜剧,2017年11月24日,9,86,89,83,84
http://movie.mtime.com/227434/, 人设不太讨喜，音乐水准也很一般，煽情戏结尾处做足，温暖有余，深度不足。,woniu2048, None,2018-1-19 22:26:33,2017, 寻梦环游记, Coco,109分钟, 动画/冒险/喜剧,2017年11月24日,9,86,89,83,84
http://movie.mtime.com/216008/,4，真的那些牵强的笑点太做作了。另外一直对护卫队整个片的人物设定感到各种丑。画面再漂亮，人物放里面败坏啊。, keylands, None,2017-11-4 1:23:47,2017,银河护卫队2,Guardians of the Galaxy Vol. 2,137分钟, 动作/冒险/科幻,2017年5月5日,7.8,80,81,77,74
http://movie.mtime.com/209688/, 所有X战警中，最喜欢的就是金刚狼。他伴随我走过本科，硕士，如今博士刚开始，他却谢幕。无论戏里戏外，他都老去，人终究敌不过岁月蹉跎。休杰克曼的身材都已逐渐走形，那就让我用行动来记住你吧！, Master, None,2017-5-24 6:38:09,2017,金刚狼3：殊死一战, Logan,123分钟, 动作/剧情/科幻,2017年3月3日,8,77,79,76,78
http://movie.mtime.com/40205/, 辣鸡辣鸡。《神奇女侠》简直就是手撕鬼子裤裆藏雷的翻版抗日神剧。最后打BOSS，还抄袭了《功夫》里的弹琴桥段。, 燃烧到成灰, None,2017-8-15 23:45:05,2017, 神奇女侠, Wonder Woman,141分钟, 动作/冒险/奇幻,2017年6月2日,7.5,77,79,73,70
http://movie.mtime.com/40205/, 冗长的出生介绍，呆若木鸡的女侠，永远在黑暗和雨夜的打斗。怎么也不会学漫威做一个正大光明的超级英雄，也不知道如何短平快的展现一个爆米花电影的应有的素质和水平。这让神奇女侠毫无观影的快感。把超级英雄电影当剧情片，非要把超级英雄搞得抑郁无比，到底是DC的宿命还是怪癖。, 周怒川, None,2017-8-9 23:07:36,2017, 神奇女侠, Wonder Woman,141分钟, 动作/冒险/奇幻,2017年6月2日,7.5,77,79,73,70
http://movie.mtime.com/40205/,额，多处跟《美国队长1》的桥段很像啊。。但是女神真的好美！！看到花絮里面女战士们的训练也是够服气的！！很棒,shine-lynn7, None,2017-8-23 21:47:15,2017, 神奇女侠, Wonder Woman,141分钟, 动作/冒险/奇幻,2017年6月2日,7.5,77,79,73,70
http://movie.mtime.com/40205/, 说实话，通篇看下来，没发现惊喜的地方……, 寂静的潮汐, None,2017-8-14 14:23:50,2017, 神奇女侠, Wonder Woman,141分钟, 动作/冒险/奇幻,2017年6月2日,7.5,77,79,73,70
http://movie.mtime.com/40205/, 影片还可以，但最赞的是影院。影院超超超超棒！, jamespeter, None,2017-8-7 10:47:46,2017, 神奇女侠, Wonder Woman,141分钟, 动作/冒险/奇幻,2017年6月2日,7.5,77,79,73,70
http://movie.mtime.com/211901/, 一般般吧，剧情有点乱, 珊瑚Carol, None,2017-8-1 12:53:17,2017,变形金刚5：最后的骑士, Transformers: The Last Knight,150分钟, 动作/冒险/科幻,2017年6月23日,6,64,78,58,48
